original_name,rxcui,rxnorm_name,tty,ingredient_rxcui,ingredient_name,atc_rxclass_level4,atc_chembl_level5,chembl_id,drugbank_id,degree,pair_share_pct,resolution_status,notes
acyclovir,281,acyclovir,IN,281,acyclovir,D06BB;J05AB;S01AD,J05AB01;S01AD03;D06BB53;D06BB03,CHEMBL184,DB00787,8,0.97,resolved_exact,
alfuzosin,17300,alfuzosin,IN,17300,alfuzosin,G04CA,G04CA01,CHEMBL709,DB00346,5,0.6,resolved_exact,
allopurinol,519,allopurinol,IN,519,allopurinol,M04AA,M04AA01;M04AA51,CHEMBL1467,DB00437,10,1.21,resolved_exact,
alprazolam,596,alprazolam,IN,596,alprazolam,N05BA,N05BA12,CHEMBL661,DB00404,4,0.48,resolved_exact,
amitriptyline,704,amitriptyline,IN,704,amitriptyline,N06AA,N06AA09,CHEMBL629,DB00321,2,0.24,resolved_exact,
amlodipine,17767,amlodipine,IN,17767,amlodipine,C08CA;C09BB;C09DB;C09DX;C09XA;C10BX,C08CA01,CHEMBL1491,DB00381,2,0.24,resolved_exact,
amoxicillin,723,amoxicillin,IN,723,amoxicillin,A02BD;J01CA,J01CA04,CHEMBL1082,DB01060,16,1.93,resolved_exact,
aspirin,1191,aspirin,IN,1191,aspirin,A01AD;B01AC;N02AJ;N02BA,B01AC06;N02BA01;N02BA51;A01AD05;N02BA71,CHEMBL25,DB00945,4,0.48,resolved_exact,
atenolol,1202,atenolol,IN,1202,atenolol,C07AB;C07FB,C07AB03,CHEMBL24,DB00335,77,9.31,resolved_exact,
atomoxetine,38400,atomoxetine,IN,38400,atomoxetine,N06BA,N06BA09,CHEMBL641,DB00289,6,0.73,resolved_exact,
atorvastatin,83367,atorvastatin,IN,83367,atorvastatin,C10AA;C10BA;C10BX,C10AA05,CHEMBL1487,DB01076,3,0.36,resolved_exact,
azithromycin,18631,azithromycin,IN,18631,azithromycin,J01FA;S01AA,J01FA10;S01AA26,CHEMBL529,DB00207,6,0.73,resolved_exact,
baclofen,1292,baclofen,IN,1292,baclofen,M03BX,M03BX01,CHEMBL701,DB00181,5,0.6,resolved_exact,
benztropine,1424,benztropine,IN,1424,benztropine,N04AC,N04AC01,CHEMBL1201203,DB00245,4,0.48,resolved_exact,
bisoprolol,19484,bisoprolol,IN,19484,bisoprolol,C07AB,C07AB07,CHEMBL645,DB00612,6,0.73,resolved_exact,
buprenorphine,1819,buprenorphine,IN,1819,buprenorphine,N02AE;N07BC,N07BC01;N07BC51;N02AE01,CHEMBL511142,,3,0.36,resolved_exact,no DrugBank ID via UniChem (ChEMBL-DrugBank cross-reference absent in UniChem despite DrugBank listing)
