seed,auc_random_unlabelled,auc_curated_atc5,auc_degree_matched,n_positive_sample,n_curated_atc5,n_matched
0,0.9027487033363684,0.8983541720863684,0.5017134251368486,992,992,333
1,0.9078916615179501,0.9013377178720083,0.5005839109430792,992,992,345
2,0.9113614561654526,0.9004480399648803,0.4993339100346021,992,992,340
3,0.9204005024063475,0.9058699434183143,0.5078768904993565,992,992,331
4,0.9041698507414152,0.9036520998634235,0.5000861881259979,992,992,332
5,0.9025114220213319,0.9003047566011967,0.5090040505327612,992,992,341
6,0.8983150486147242,0.8900716823296045,0.5019982824679614,992,992,348
7,0.9076447263592612,0.9038177394966181,0.502245427493105,992,992,332
8,0.9162107342611863,0.9093758129552549,0.5000405695971439,992,992,314
9,0.9126047696084808,0.8984771315686785,0.5004843966798302,992,992,349
10,0.9089307199531738,0.904497573328564,0.5020814281359549,992,992,324
11,0.9099606326417794,0.8983531558922997,0.49786578235156537,992,992,346
12,0.9050315833116546,0.8968705287460979,0.4928255062173145,992,992,339
13,0.9017868756503642,0.9011969749934964,0.5028220729248298,992,992,337
14,0.9102324645551508,0.8950916810288762,0.4991487347291315,992,992,347
15,0.9141011153746098,0.9032329198100937,0.49549851786572663,992,992,316
16,0.9116470066987513,0.8992367366350156,0.5043264286139278,992,992,343
17,0.9102126487708116,0.8996869106074402,0.497413179848671,992,992,329
18,0.8960555411030177,0.8922798720408429,0.5003529636488967,992,992,347
19,0.9073571434378251,0.8982027591701353,0.4959812875918913,992,992,335
