drug_a,drug_b,evidence_tier,faers_coreports,n_ae_terms_tested,median_upper95_ror,p95_upper95_ror,max_upper95_ror,frac_terms_equiv_delta1.5,frac_terms_equiv_delta2.0,frac_terms_equiv_delta3.0,involves_mega_hub
ciprofloxacin,dalteparin,T2_moderate,759.0,165,2.1480449426898316,7.01473808838619,34.11346889129183,0.3575757575757576,0.4666666666666667,0.6181818181818182,False
ciprofloxacin,heparin,T1_wellpowered,2105.0,403,2.3449815005035317,5.119516511032842,9.481407165268788,0.23325062034739455,0.4044665012406948,0.6898263027295285,False
ciprofloxacin,ustekinumab,T2_moderate,443.0,120,2.5600654428790373,15.283802314258304,42.11696379336121,0.26666666666666666,0.4083333333333333,0.5333333333333333,True
clindamycin,dalteparin,T2_moderate,200.0,44,3.242544590065555,10.847991112171018,14.496803239085798,0.13636363636363635,0.29545454545454547,0.45454545454545453,False
clindamycin,sevelamer,T2_moderate,192.0,36,5.398395508826963,15.322798481024712,19.161714907391993,0.1388888888888889,0.16666666666666666,0.19444444444444445,True
clindamycin,ustekinumab,T2_moderate,193.0,35,2.192206897155235,8.773664635367725,26.748434390887912,0.17142857142857143,0.42857142857142855,0.6,True
colchicine,dalteparin,T3_limited,70.0,46,6.900771107664502,10.03172666914919,12.301567471896787,0.0,0.021739130434782608,0.06521739130434782,False
colchicine,heparin,T2_moderate,420.0,189,3.778353496777481,14.473860332972075,20.140422185010937,0.07936507936507936,0.15343915343915343,0.3386243386243386,False
colchicine,liraglutide,T2_moderate,121.0,20,4.463602188703073,12.766400038481288,19.74035515942439,0.05,0.15,0.3,False
colchicine,sevelamer,T2_moderate,202.0,42,3.605640055778288,9.883770882013515,12.793572181394527,0.21428571428571427,0.2619047619047619,0.47619047619047616,True
haloperidol,dalteparin,T2_moderate,170.0,43,4.086385558226469,10.563957726244457,15.228378812411318,0.023255813953488372,0.06976744186046512,0.32558139534883723,False
isosorbide,citalopram,T1_wellpowered,1587.0,362,2.40360244676604,7.68130304643385,26.147818172159827,0.22375690607734808,0.3756906077348066,0.6077348066298343,False
isosorbide,dalteparin,T2_moderate,157.0,16,4.543492394000954,35.9936334779461,49.78641870985397,0.1875,0.25,0.3125,False
isosorbide,dextromethorphan,T2_moderate,465.0,236,4.259095547559174,10.612565896525254,17.135387579048345,0.0423728813559322,0.13559322033898305,0.3135593220338983,False
isosorbide,heparin,T1_wellpowered,1084.0,335,2.7681072256123125,7.426135925945271,12.164541121335626,0.2,0.3253731343283582,0.5522388059701493,False
isosorbide,levetiracetam,T2_moderate,457.0,134,2.3670782087977766,10.518879011529052,22.914860404287307,0.2462686567164179,0.3582089552238806,0.6119402985074627,False
isosorbide,liraglutide,T2_moderate,317.0,65,1.984748670069102,8.699381230040215,12.561538357017993,0.3230769230769231,0.5076923076923077,0.6615384615384615,False
isosorbide,sevelamer,T2_moderate,416.0,79,2.1711977223915913,6.647376238248331,9.535315998163496,0.3291139240506329,0.45569620253164556,0.6075949367088608,True
isosorbide,ustekinumab,T3_limited,88.0,97,4.891138134043423,10.557415913141991,13.878493751651671,0.020618556701030927,0.041237113402061855,0.14432989690721648,True
spironolactone,sevelamer,EXCLUDED_clinical,213.0,50,3.5396642330757304,8.678680817560924,12.697258944924146,0.12,0.22,0.42,True
spironolactone,ustekinumab,T2_moderate,364.0,79,1.7260535711186478,8.002122910438104,12.660098819985738,0.45569620253164556,0.5316455696202531,0.7341772151898734,True
sumatriptan,heparin,T2_moderate,351.0,127,3.902849748012786,11.056005882282875,18.518654771223773,0.06299212598425197,0.16535433070866143,0.4015748031496063,False
sumatriptan,liraglutide,T2_moderate,124.0,22,3.5361494357233756,8.8184784512919,9.110715540572441,0.09090909090909091,0.3181818181818182,0.4090909090909091,False
sumatriptan,ustekinumab,T2_moderate,120.0,15,2.3129965838368896,7.151040738076504,9.469064653790443,0.26666666666666666,0.4,0.6666666666666666,True
tizanidine,heparin,T2_moderate,540.0,213,3.2578468674105525,12.534958020902419,19.143310880721387,0.107981220657277,0.22065727699530516,0.4647887323943662,False
tizanidine,liraglutide,T2_moderate,332.0,67,1.9931132260552586,6.9234201631708,8.007265733245426,0.3283582089552239,0.5074626865671642,0.7164179104477612,False
tizanidine,sevelamer,T2_moderate,109.0,19,4.098328543158078,10.846916213044299,13.283642708715572,0.0,0.15789473684210525,0.42105263157894735,True
tizanidine,ustekinumab,T2_moderate,114.0,19,2.2097730497343067,8.900973975137648,10.125090094029938,0.10526315789473684,0.47368421052631576,0.7368421052631579,True
allopurinol,chlorpheniramine,T1_wellpowered,2864.0,411,1.6078014396852423,6.280826032936371,20.301790184280645,0.45255474452554745,0.6690997566909975,0.8394160583941606,False
allopurinol,citalopram,T1_wellpowered,3755.0,403,1.5850575570815066,4.1518673226378136,10.703465793411757,0.46153846153846156,0.6997518610421837,0.8957816377171216,False
allopurinol,dalteparin,T1_wellpowered,1190.0,199,2.644118680178849,38.5252250906675,85.14989537219938,0.20603015075376885,0.38190954773869346,0.5376884422110553,False
allopurinol,dextromethorphan,T1_wellpowered,1375.0,303,2.1652588001948536,5.549382950960528,8.307605425945408,0.23432343234323433,0.4389438943894389,0.7128712871287128,False
allopurinol,heparin,T1_wellpowered,2526.0,367,2.3598727167131464,12.975778535059925,34.76740522961157,0.20708446866485014,0.40599455040871935,0.6321525885558583,False
allopurinol,levetiracetam,T1_wellpowered,2113.0,351,1.8575985260188883,5.506242851415616,21.929398492893377,0.37037037037037035,0.5498575498575499,0.7407407407407407,False
allopurinol,liraglutide,T1_wellpowered,929.0,174,2.030790474492843,6.678137485038881,11.306660551039972,0.3218390804597701,0.4885057471264368,0.6896551724137931,False
allopurinol,sevelamer,T1_wellpowered,1230.0,223,1.892374557850255,5.218816690369756,9.262743179407977,0.32286995515695066,0.5426008968609866,0.8071748878923767,True
allopurinol,ustekinumab,T2_moderate,425.0,102,1.4642112892359882,7.710845259202005,17.912250969753973,0.5196078431372549,0.6176470588235294,0.7352941176470589,True
alprazolam,dalteparin,T2_moderate,109.0,29,4.482259650729517,12.474868989586431,13.246978271996518,0.0,0.10344827586206896,0.27586206896551724,False
alprazolam,heparin,T1_wellpowered,1820.0,397,2.8700068051807617,6.3610471370954125,13.347106688557712,0.13602015113350127,0.28211586901763225,0.5289672544080605,False
alprazolam,sevelamer,T2_moderate,476.0,93,2.9784267094885326,9.183616353033154,10.37785286447255,0.22580645161290322,0.3655913978494624,0.5053763440860215,True
alprazolam,ustekinumab,T2_moderate,384.0,81,1.6469510078355156,5.5457716883797055,11.998324275930095,0.48148148148148145,0.5802469135802469,0.7901234567901234,True
amlodipine,sevelamer,T1_wellpowered,2545.0,377,1.8085069704821901,5.994796999876439,9.578627560208018,0.4217506631299735,0.5596816976127321,0.7612732095490716,True
amlodipine,ustekinumab,T1_wellpowered,1389.0,284,1.6833811565364951,20.508879972295684,159.27479187188084,0.45422535211267606,0.5950704225352113,0.6795774647887324,True
amoxicillin,citalopram,T1_wellpowered,3145.0,391,1.890493767408429,4.764604238651964,7.556142570467573,0.30434782608695654,0.5370843989769821,0.7672634271099744,False
amoxicillin,dalteparin,T2_moderate,789.0,184,2.155646891064036,5.831472543351209,11.224602622239841,0.2717391304347826,0.45108695652173914,0.6793478260869565,False
amoxicillin,dextromethorphan,T1_wellpowered,1997.0,393,2.576702458937585,5.82412480379493,8.844512446071729,0.13994910941475827,0.31297709923664124,0.5954198473282443,False
amoxicillin,heparin,T1_wellpowered,2071.0,399,2.495304043479346,5.993998384134298,13.47036069140224,0.19047619047619047,0.3558897243107769,0.6441102756892231,False
amoxicillin,levetiracetam,T1_wellpowered,2110.0,387,1.8312231025924128,4.763298459485314,10.164632318635217,0.3695090439276486,0.5529715762273901,0.8165374677002584,False
amoxicillin,liraglutide,T2_moderate,537.0,103,3.548212309497411,64.9255840810765,96.8997069719074,0.24271844660194175,0.3592233009708738,0.4174757281553398,False
amoxicillin,sevelamer,T2_moderate,389.0,78,4.565559662766855,15.630746373310009,24.499769620140253,0.16666666666666666,0.21794871794871795,0.3333333333333333,True
amoxicillin,ustekinumab,T2_moderate,348.0,85,1.5565318380593658,7.358392043452637,10.75406371650732,0.4588235294117647,0.6,0.8352941176470589,True
aspirin,levetiracetam,T1_wellpowered,6909.0,436,1.3527149518209252,2.653445239465272,4.277054553292808,0.5894495412844036,0.7798165137614679,0.9770642201834863,False
aspirin,sevelamer,T1_wellpowered,2359.0,383,1.7694464355893371,5.69642066463933,11.14824105105303,0.4177545691906005,0.5535248041775457,0.741514360313316,True
aspirin,ustekinumab,T1_wellpowered,1542.0,355,2.0959510054238644,14.844589313459798,127.94395736212059,0.38591549295774646,0.48732394366197185,0.6422535211267606,True
atenolol,clindamycin,T1_wellpowered,1005.0,358,3.212534734451477,8.964019028664492,41.309372130763144,0.0893854748603352,0.22346368715083798,0.46368715083798884,False
atenolol,colchicine,T1_wellpowered,1088.0,254,2.2277288817521406,7.233790922391448,39.54265008930891,0.28346456692913385,0.46062992125984253,0.6614173228346457,False
atenolol,sumatriptan,T1_wellpowered,990.0,231,2.3635261630064015,7.5614092395829795,43.86215043278189,0.2554112554112554,0.4069264069264069,0.6883116883116883,False
atenolol,atomoxetine,T2_moderate,128.0,30,2.590675689765958,9.042305632934623,9.88639840726175,0.03333333333333333,0.23333333333333334,0.7,False
atenolol,cefdinir,T2_moderate,196.0,46,2.662395434784001,8.311734129890755,8.832776426160223,0.0,0.17391304347826086,0.5434782608695652,False
atenolol,cefuroxime,T2_moderate,332.0,105,2.8467562430409394,9.409253128484306,15.737999751957451,0.1619047619047619,0.29523809523809524,0.5047619047619047,False
atenolol,cephalexin,T1_wellpowered,1031.0,300,2.5419132565685576,8.07783960290495,36.605484154627966,0.18333333333333332,0.3466666666666667,0.6066666666666667,False
atenolol,chlorhexidine,EXCLUDED_clinical,324.0,179,2.956570684142899,11.279200809776098,17.954171485319844,0.329608938547486,0.3854748603351955,0.5027932960893855,False
atenolol,acyclovir,T1_wellpowered,2750.0,409,1.4853658024165093,3.13164165112474,6.049457186211216,0.511002444987775,0.7359413202933985,0.9290953545232273,False
atenolol,clopidogrel,T1_wellpowered,9388.0,449,1.211878066380328,2.335205917434172,4.308902691548202,0.6993318485523385,0.8864142538975501,0.9866369710467706,False
atenolol,clotrimazole,EXCLUDED_clinical,498.0,158,2.893641655511674,9.612716107420633,12.1396643257525,0.15822784810126583,0.310126582278481,0.5316455696202531,False
atenolol,cyclosporine,T1_wellpowered,1509.0,355,2.0631979361345367,10.626096490092987,30.560657104103505,0.30704225352112674,0.48450704225352115,0.6985915492957746,False
atenolol,finasteride,T1_wellpowered,1759.0,344,1.749872217497185,3.70656038245604,7.071475992450502,0.3866279069767442,0.5872093023255814,0.8691860465116279,False
atenolol,gemfibrozil,T1_wellpowered,1296.0,332,2.0866804166485844,4.709576224531058,8.704478252623915,0.25301204819277107,0.4608433734939759,0.7319277108433735,False
atenolol,granisetron,T2_moderate,152.0,31,2.8020552389949605,7.710512683186897,9.93916457736036,0.0967741935483871,0.3225806451612903,0.5161290322580645,False
atenolol,irbesartan,T1_wellpowered,2752.0,392,1.7041317033894687,3.9875477646570463,11.483162606211884,0.4005102040816326,0.6224489795918368,0.8469387755102041,False
atenolol,ketoconazole,T2_moderate,480.0,161,3.238051750239005,9.316055040370351,13.971554530091208,0.08695652173913043,0.2111801242236025,0.4409937888198758,False
atenolol,lansoprazole,T1_wellpowered,5712.0,403,1.4252269126526667,4.148821189124104,14.72298511050172,0.5483870967741935,0.7146401985111662,0.8883374689826302,False
atenolol,losartan,T1_wellpowered,11233.0,459,1.300664034822122,2.0793832942790687,5.822991063708691,0.7342047930283224,0.9281045751633987,0.9847494553376906,False
atenolol,pioglitazone,T1_wellpowered,1819.0,386,2.106724824428318,5.27631628461688,8.410149271380769,0.30310880829015546,0.46632124352331605,0.7409326424870466,False
atenolol,prednisolone,T1_wellpowered,2230.0,398,1.5264285919483775,3.6696317135291063,7.801260175306629,0.4899497487437186,0.6834170854271356,0.914572864321608,False
atenolol,tramadol,T1_wellpowered,5775.0,437,1.2473542778789757,2.5480728541518043,27.61387250486663,0.6567505720823799,0.8718535469107551,0.9633867276887872,False
atenolol,clarithromycin,T2_moderate,644.0,146,2.797213864937394,21.961717315716488,63.4478466299899,0.2191780821917808,0.3219178082191781,0.5547945205479452,False
atenolol,perindopril,T1_wellpowered,1785.0,292,1.8494326045459981,7.2351064910934,24.366478782572564,0.3664383561643836,0.5616438356164384,0.7431506849315068,False
atenolol,pemetrexed,T2_moderate,230.0,37,2.089504027052254,8.04712181475753,11.159625083339717,0.21621621621621623,0.3783783783783784,0.6486486486486487,False
atenolol,doxycycline,T1_wellpowered,1406.0,356,2.163086081596348,7.3549141231329465,31.448310564078522,0.3202247191011236,0.45786516853932585,0.6797752808988764,False
atenolol,cinacalcet,T2_moderate,296.0,70,3.352656054343532,15.810421723561955,29.06146279893796,0.15714285714285714,0.24285714285714285,0.45714285714285713,False
atenolol,conjugated estrogens,T1_wellpowered,1940.0,420,2.4378307245696336,5.3593880748857465,21.60462072064141,0.1738095238095238,0.36666666666666664,0.6857142857142857,False
atenolol,dalteparin,T3_trivial_inert,221.0,41,2.4235260539198245,8.608052912062497,16.04118429792141,0.21951219512195122,0.34146341463414637,0.5853658536585366,False
atenolol,dextromethorphan,T1_wellpowered,933.0,302,2.709086293286836,7.615933941438531,16.696802480471415,0.10596026490066225,0.26158940397350994,0.5629139072847682,False
atenolol,dutasteride,T2_moderate,679.0,151,1.8682595424599093,6.900996245831461,11.78703280226561,0.3576158940397351,0.543046357615894,0.7682119205298014,False
atenolol,eletriptan,T2_moderate,147.0,19,3.2792764548853195,9.514052272471929,9.823643932559929,0.15789473684210525,0.3157894736842105,0.47368421052631576,False
atenolol,ezetimibe,T1_wellpowered,4294.0,414,1.5164606086961188,3.0716109156397176,5.785726895451317,0.4782608695652174,0.7439613526570048,0.9396135265700483,False
atenolol,famotidine,T1_wellpowered,3258.0,417,1.8304683566879028,4.07238315142999,7.856181644049034,0.3213429256594724,0.592326139088729,0.8465227817745803,False
atenolol,fenofibrate,T1_wellpowered,1774.0,322,1.8319664115501533,5.381167004909178,12.626116261556534,0.35403726708074534,0.5527950310559007,0.7888198757763976,False
atenolol,gabapentin,T3_trivial_inert,10945.0,445,1.2555270722786043,2.6991091773429914,11.717766346110853,0.6876404494382022,0.8629213483146068,0.9640449438202248,False
atenolol,heparin,T3_trivial_inert,1345.0,349,2.502513777423912,6.1311745314394885,10.410854408996794,0.20916905444126074,0.3753581661891118,0.6275071633237822,False
atenolol,hydralazine,T1_wellpowered,1831.0,362,1.9168709769103605,5.2057704653264985,28.0115694443079,0.3149171270718232,0.5386740331491713,0.8066298342541437,False
atenolol,lactulose,T3_trivial_inert,1113.0,275,2.124214659147306,5.415729772929614,7.705585148399045,0.29818181818181816,0.4690909090909091,0.6945454545454546,False
atenolol,levetiracetam,T3_trivial_inert,1210.0,297,2.198756806695789,6.627876854309247,17.657599970060048,0.2727272727272727,0.4478114478114478,0.7037037037037037,False
atenolol,levofloxacin,T1_wellpowered,1062.0,218,1.859555749303483,7.813833094787871,34.71666041789436,0.3486238532110092,0.536697247706422,0.7064220183486238,False
atenolol,liraglutide,T3_trivial_inert,665.0,120,1.724868908166778,6.206496216640891,14.23921260516523,0.36666666666666664,0.5833333333333334,0.7083333333333334,False
atenolol,memantine,T2_moderate,348.0,77,2.569237791915887,11.89738793923737,18.334734011122396,0.15584415584415584,0.4025974025974026,0.5454545454545454,False
atenolol,methocarbamol,T1_wellpowered,830.0,251,2.2700313275826702,5.659681499889267,8.451550794668783,0.21912350597609562,0.41434262948207173,0.649402390438247,False
atenolol,metronidazole,T1_wellpowered,1150.0,337,2.5157913191332377,6.727394035267261,11.685614424706914,0.19287833827893175,0.3590504451038576,0.5816023738872403,False
atenolol,montelukast,T1_wellpowered,3322.0,426,1.4096181252987645,2.8655269809202064,8.159226289629741,0.5422535211267606,0.7699530516431925,0.960093896713615,False
atenolol,mupirocin,EXCLUDED_clinical,418.0,129,3.1860922059083636,11.2581583466065,19.79916102463336,0.08527131782945736,0.27906976744186046,0.4806201550387597,False
atenolol,nitrofurantoin,T1_wellpowered,936.0,286,2.689411532215723,10.452990744622879,31.224811642293805,0.1853146853146853,0.32517482517482516,0.548951048951049,False
atenolol,omeprazole,T1_wellpowered,17800.0,462,1.1929271814948637,1.891408208459567,3.57791040833007,0.7857142857142857,0.9588744588744589,0.9956709956709957,False
atenolol,oseltamivir,T2_moderate,189.0,43,3.5125602055359377,13.400222219828045,13.902188541721532,0.06976744186046512,0.18604651162790697,0.3953488372093023,False
atenolol,pantoprazole,T1_wellpowered,9591.0,431,1.3624783628910815,3.094811569403824,6.555810863760931,0.6403712296983759,0.8167053364269141,0.9443155452436195,False
atenolol,acetaminophen,T1_wellpowered,15293.0,420,1.4682964019952403,3.2604947272816247,13.073795943524985,0.5095238095238095,0.7404761904761905,0.930952380952381,False
atenolol,phenazopyridine,T2_moderate,196.0,70,3.0648914279766206,9.097018964764075,11.110351588441837,0.04285714285714286,0.11428571428571428,0.4714285714285714,False
atenolol,phenytoin,T2_moderate,783.0,224,2.2332953044413166,7.375636558945919,16.0219822907654,0.24107142857142858,0.4375,0.6517857142857143,False
atenolol,pravastatin,T1_wellpowered,4299.0,429,1.4199333568607058,2.6224955417733264,5.24965004534254,0.5477855477855478,0.8065268065268065,0.9743589743589743,False
atenolol,pregabalin,T3_trivial_inert,5232.0,424,1.5139804909874262,4.477484749636482,17.892556342368405,0.4882075471698113,0.7122641509433962,0.8915094339622641,False
atenolol,raloxifene,T2_moderate,581.0,177,2.777994084992841,16.94373387171549,34.7604294526759,0.14124293785310735,0.288135593220339,0.5310734463276836,False
atenolol,raltegravir,T2_moderate,126.0,24,6.591782534648889,10.720940178660808,12.22257723950034,0.041666666666666664,0.08333333333333333,0.20833333333333334,False
atenolol,ramipril,T1_wellpowered,4836.0,387,1.274024473486794,3.855175484419715,12.826613509545036,0.6098191214470284,0.7803617571059431,0.9069767441860465,False
atenolol,rosuvastatin,T1_wellpowered,7889.0,447,1.2405046682148886,2.283536977416936,4.491792184423029,0.7449664429530202,0.9172259507829977,0.9798657718120806,False
atenolol,sevelamer,T3_trivial_inert,310.0,68,3.148024378824879,10.926957984954978,15.554780614549996,0.19117647058823528,0.3088235294117647,0.4852941176470588,True
atenolol,solifenacin,T1_wellpowered,876.0,184,1.9843719086843596,6.205922165678803,12.58370117102143,0.29891304347826086,0.5054347826086957,0.7282608695652174,False
atenolol,triamcinolone,T1_wellpowered,1329.0,291,1.599459474126873,4.996395828733471,77.66614796772181,0.44673539518900346,0.6460481099656358,0.7869415807560137,False
atenolol,valproate,T2_moderate,374.0,82,2.688099277300025,18.249941255063877,36.82054928961853,0.21951219512195122,0.36585365853658536,0.524390243902439,False
atenolol,venlafaxine,T1_wellpowered,3908.0,408,1.5107407760907765,3.5294380986550187,23.54705285254563,0.49264705882352944,0.6985294117647058,0.9142156862745098,False
atenolol,zolmitriptan,T2_moderate,132.0,19,2.4204387141626635,4.859699552234247,7.116727383902557,0.15789473684210525,0.2631578947368421,0.631578947368421,False
atomoxetine,ustekinumab,T1_wellpowered,1054.0,239,12.097480434210114,47.98431226953858,67.23329964030317,0.016736401673640166,0.03765690376569038,0.05439330543933055,True
atorvastatin,atenolol,T1_wellpowered,20628.0,441,1.1839864248384646,2.2153071378967675,3.4976675736692373,0.7755102040816326,0.927437641723356,0.9909297052154195,False
atorvastatin,sevelamer,T1_wellpowered,1940.0,293,1.8779138296161237,4.894337207899378,6.737348824243488,0.3583617747440273,0.5392491467576792,0.757679180887372,True
atorvastatin,ustekinumab,T1_wellpowered,1419.0,242,1.673716141663526,29.787342481795577,95.78995122538241,0.4628099173553719,0.5578512396694215,0.6818181818181818,True
