pair_id,drug_a,drug_b,tier,label_class,evidence
ADDI2-0001,hydrocodone,aspirin,EXCLUDED_clinical,no_label_signal,
ADDI2-0002,methotrexate,ustekinumab,EXCLUDED_clinical,no_label_signal,
ADDI2-0003,metformin,liraglutide,EXCLUDED_clinical,label_explicit_INTERACTION,"hypoglycemia. in pediatric patients 10 years of age and older, the risk of hypoglycemia was higher with liraglutide injection regardless of insulin and/or metformin use. reduction in the dose of insul"
ADDI2-0004,hydroxychloroquine,ustekinumab,EXCLUDED_clinical,no_label_signal,
ADDI2-0005,insulin lispro,liraglutide,EXCLUDED_clinical,label_explicit_INTERACTION,")] . nonetheless, caution should be exercised when oral medications are concomitantly administered with liraglutide injection. 7.2 concomitant use with an insulin secretagogue (e.g., sulfonylurea) or"
ADDI2-0006,cinacalcet,sevelamer,EXCLUDED_clinical,no_label_signal,
ADDI2-0007,sitagliptin,liraglutide,EXCLUDED_clinical,no_label_signal,
ADDI2-0008,hydrocodone,mupirocin,EXCLUDED_clinical,no_label_signal,
ADDI2-0009,hydrocodone,chlorhexidine,EXCLUDED_clinical,no_label_signal,
ADDI2-0010,citalopram,mupirocin,EXCLUDED_clinical,no_label_signal,
ADDI2-0011,atenolol,clotrimazole,EXCLUDED_clinical,no_label_signal,
ADDI2-0012,chlorhexidine,citalopram,EXCLUDED_clinical,no_label_signal,
ADDI2-0013,atenolol,mupirocin,EXCLUDED_clinical,no_label_signal,
ADDI2-0014,dextromethorphan,mupirocin,EXCLUDED_clinical,no_label_signal,
ADDI2-0015,conjugated estrogens,methylphenidate,EXCLUDED_clinical,no_label_signal,
ADDI2-0016,atenolol,chlorhexidine,EXCLUDED_clinical,no_label_signal,
ADDI2-0017,hydrochlorothiazide,sevelamer,EXCLUDED_clinical,no_label_signal,
ADDI2-0018,metformin,sevelamer,EXCLUDED_clinical,no_label_signal,
ADDI2-0019,spironolactone,sevelamer,EXCLUDED_clinical,no_label_signal,
ADDI2-0020,hydrocodone,zaleplon,EXCLUDED_clinical,no_label_signal,
ADDI2-0021,ustekinumab,clotrimazole,EXCLUDED_clinical,no_label_signal,
ADDI2-0022,sevelamer,glimepiride,EXCLUDED_clinical,no_label_signal,
ADDI2-0023,sevelamer,clotrimazole,EXCLUDED_clinical,no_label_signal,
ADDI2-0024,dextromethorphan,zolmitriptan,EXCLUDED_clinical,no_label_signal,
ADDI2-0025,methotrexate,sevelamer,EXCLUDED_clinical,no_label_signal,
ADDI2-0026,nitrofurantoin,sevelamer,EXCLUDED_clinical,no_label_signal,
ADDI2-0027,hydrocodone,zopiclone,EXCLUDED_clinical,no_label_signal,
ADDI2-0028,triamterene,sevelamer,EXCLUDED_clinical,no_label_signal,
ADDI2-0029,sevelamer,pemetrexed,EXCLUDED_clinical,no_label_signal,
ADDI2-0030,ustekinumab,pemetrexed,EXCLUDED_clinical,no_label_signal,
ADDI2-0031,dextromethorphan,naproxen,T1_wellpowered,no_label_signal,
ADDI2-0032,atorvastatin,atenolol,T1_wellpowered,no_label_signal,
ADDI2-0033,hydrocodone,omeprazole,T1_wellpowered,no_label_signal,
ADDI2-0034,atenolol,omeprazole,T1_wellpowered,no_label_signal,
ADDI2-0035,simvastatin,atenolol,T1_wellpowered,no_label_signal,
ADDI2-0036,metformin,atenolol,T1_wellpowered,no_label_signal,
ADDI2-0037,atenolol,acetaminophen,T1_wellpowered,no_label_signal,
ADDI2-0038,hydrocodone,furosemide,T1_wellpowered,no_label_signal,
ADDI2-0039,atenolol,losartan,T1_wellpowered,no_label_signal,
ADDI2-0040,hydrocodone,metformin,T1_wellpowered,no_label_signal,
ADDI2-0041,citalopram,lisinopril,T1_wellpowered,no_label_signal,
ADDI2-0042,atenolol,pantoprazole,T1_wellpowered,no_label_signal,
ADDI2-0043,atenolol,clopidogrel,T1_wellpowered,no_label_signal,
ADDI2-0044,atenolol,rosuvastatin,T1_wellpowered,no_label_signal,
ADDI2-0045,acetaminophen,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0046,diclofenac,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0047,lidocaine,heparin,T1_wellpowered,no_label_signal,
ADDI2-0048,aspirin,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0049,hydrocodone,montelukast,T1_wellpowered,no_label_signal,
ADDI2-0050,hydrocodone,naproxen,T1_wellpowered,no_label_signal,
ADDI2-0051,levetiracetam,omeprazole,T1_wellpowered,no_label_signal,
ADDI2-0052,hydrocodone,amoxicillin,T1_wellpowered,no_label_signal,
