pair_id,drug_a,drug_b,evidence_tier,mechanism_count,mechanism_conflict,mechanism_types,split,split_seed
ADDI2-0032,atorvastatin,atenolol,T1_wellpowered,3,True,biological_process;pharmacogenetic;transporter_inhibitor,development,20260819
ADDI2-0033,hydrocodone,omeprazole,T1_wellpowered,2,True,pk_inducer;pk_inhibitor,confirmatory,20260819
ADDI2-0034,atenolol,omeprazole,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0035,simvastatin,atenolol,T1_wellpowered,3,True,biological_process;pharmacogenetic;transporter_inhibitor,development,20260819
ADDI2-0036,metformin,atenolol,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0037,atenolol,acetaminophen,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0038,hydrocodone,furosemide,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0039,atenolol,losartan,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0040,hydrocodone,metformin,T1_wellpowered,0,False,,development,20260819
ADDI2-0042,atenolol,pantoprazole,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0043,atenolol,clopidogrel,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0044,atenolol,rosuvastatin,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0048,aspirin,levetiracetam,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0049,hydrocodone,montelukast,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0051,levetiracetam,omeprazole,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0052,hydrocodone,amoxicillin,T1_wellpowered,0,False,,development,20260819
ADDI2-0053,atenolol,tramadol,T1_wellpowered,1,True,pharmacogenetic,development,20260819
ADDI2-0054,atenolol,lansoprazole,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
