panel,series,eta,eta_label,value,k,ci_low,ci_high
a,GraphSAGE,0.0,0,0.11573955438354493,,,
a,Text k=100,0.0,0,0.6220352710093486,,,
a,GraphSAGE,0.0001,0.01%,0.078675011023854,,,
a,Text k=100,0.0001,0.01%,0.5865445389368734,,,
a,GraphSAGE,0.001,0.1%,0.043141609080169105,,,
a,Text k=100,0.001,0.1%,0.4911259698348093,,,
a,GraphSAGE,0.005,0.5%,0.024679611007741523,,,
a,Text k=100,0.005,0.5%,0.3188804805845788,,,
a,GraphSAGE,0.01,1%,0.019800039103037327,,,
a,Text k=100,0.01,1%,0.2071247191025459,,,
b,Unconstrained,,,8.8025,100.0,,
b,Controlled,,,3.6625,100.0,,
b,Unconstrained,,,32.3025,500.0,,
b,Controlled,,,13.335,500.0,,
b,Unconstrained,,,52.3025,1000.0,,
b,Controlled,,,22.895,1000.0,,
c,GraphSAGE primary,,,0.787644232036272,,0.7597206524162082,0.8140956595250519
c,Text  k=10,,,0.4370992063492063,,0.4092761904761904,0.465956498015873
c,Text  k=50,,,0.3406093143438665,,0.3265172996010129,0.3550079703366948
c,Text  k=100,,,0.2867430584523463,,0.27647635436401,0.2974140890762294
