contrast_type,contrast,k,eta,n_queries,n_queries_with_turnover,mean_delta_unconstrained,mean_j_eta,mean_atf,mean_utility_regret,mean_ridi_unconstrained,mean_ridi_controlled
representation,rep_A,100,0.0,200,200,8.27,8.27,0.0,0.0,0.13678666790157995,0.13678666790157995
representation,rep_A,100,0.0001,200,200,8.27,5.32,0.5630038290091569,5.8729667478152014e-05,0.13678666790157995,0.083367895246842
representation,rep_A,100,0.001,200,200,8.27,3.59,0.7908575302488415,0.00036784761648436934,0.13678666790157995,0.052940954966874586
representation,rep_A,100,0.005,200,200,8.27,2.465,0.9091672601117822,0.0015874128103752561,0.13678666790157995,0.033925844606600156
representation,rep_A,100,0.01,200,200,8.27,2.04,0.9461915541150955,0.002718585782252512,0.13678666790157995,0.027085558543169182
representation,rep_A,500,0.0,200,200,30.185,30.185,0.0,0.0,0.10337658150310824,0.10337658150310824
representation,rep_A,500,0.0001,200,200,30.185,21.55,0.43053779259871705,8.675884453810873e-05,0.10337658150310824,0.07134277962852353
representation,rep_A,500,0.001,200,200,30.185,12.985,0.798033702909343,0.0007488637122028981,0.10337658150310824,0.039110212466269716
representation,rep_A,500,0.005,200,200,30.185,8.515,0.9441146999032086,0.002598207017722582,0.10337658150310824,0.022609482996501576
representation,rep_A,500,0.01,200,200,30.185,7.365,0.9643520619378684,0.0033411179564749095,0.10337658150310824,0.01873422195268022
representation,rep_A,1000,0.0,200,200,48.935,48.935,0.0,0.0,0.08387082018762143,0.08387082018762143
representation,rep_A,1000,0.0001,200,200,48.935,36.885,0.36973456302124086,9.031457922061528e-05,0.08387082018762143,0.06123279862702435
representation,rep_A,1000,0.001,200,200,48.935,21.75,0.7815343345580171,0.0008821597803871381,0.08387082018762143,0.03232979946711039
representation,rep_A,1000,0.005,200,200,48.935,13.845,0.9531440102024631,0.002827872949192356,0.08387082018762143,0.017401493676684653
representation,rep_A,1000,0.01,200,200,48.935,12.165,0.9718113037997285,0.003406351176717347,0.08387082018762143,0.014522066814972354
representation,rep_B,100,0.0,200,200,9.335,9.335,0.0,0.0,0.1551139517835572,0.1551139517835572
representation,rep_B,100,0.0001,200,200,9.335,5.965,0.5443720497083406,6.982486634271888e-05,0.1551139517835572,0.09499758258679038
representation,rep_B,100,0.001,200,200,9.335,3.735,0.8053247847112529,0.00040352882427653895,0.1551139517835572,0.05558216641780317
representation,rep_B,100,0.005,200,200,9.335,2.5,0.9098833984124016,0.0016083722811403947,0.1551139517835572,0.03458585074173785
representation,rep_B,100,0.01,200,200,9.335,2.01,0.9507251247105826,0.0029813575874324655,0.1551139517835572,0.026561159768417712
representation,rep_B,500,0.0,200,200,34.42,34.42,0.0,0.0,0.1188943780811526,0.1188943780811526
representation,rep_B,500,0.0001,200,200,34.42,25.67,0.35001258110764455,8.701903635621032e-05,0.1188943780811526,0.08701672542103152
representation,rep_B,500,0.001,200,200,34.42,13.685,0.7945475264115693,0.0008118768422173636,0.1188943780811526,0.0419974542768535
representation,rep_B,500,0.005,200,200,34.42,8.365,0.9453255557563623,0.002824120429458091,0.1188943780811526,0.02223950848781757
representation,rep_B,500,0.01,200,200,34.42,7.13,0.9663412824982484,0.003617724107570269,0.1188943780811526,0.017974556154259615
representation,rep_B,1000,0.0,200,200,55.67,55.67,0.0,0.0,0.09639492684425034,0.09639492684425034
representation,rep_B,1000,0.0001,200,200,55.67,43.63,0.3014119979913443,9.045671366725122e-05,0.09639492684425034,0.07409228463291244
representation,rep_B,1000,0.001,200,200,55.67,24.04,0.7555675133786086,0.0009109539099695872,0.09639492684425034,0.03688906688610345
representation,rep_B,1000,0.005,200,200,55.67,13.75,0.9525952913790162,0.0031358908006773488,0.09639492684425034,0.0173154855371074
representation,rep_B,1000,0.01,200,200,55.67,11.825,0.9736578901933888,0.0037787930695524323,0.09639492684425034,0.013922671384724895
stochastic,stoch_R0,100,0.0,200,200,6.05,6.05,0.0,0.0,0.11320526984018218,0.11320526984018218
stochastic,stoch_R0,100,0.0001,200,200,6.05,2.485,0.6435659201909202,7.397744183984631e-05,0.11320526984018218,0.047765196814565425
stochastic,stoch_R0,100,0.001,200,200,6.05,0.005,0.9996153846153847,0.00025908616908898013,0.11320526984018218,9.900990099009902e-05
stochastic,stoch_R0,100,0.005,200,200,6.05,0.0,1.0,0.0002598644971997656,0.11320526984018218,0.0
stochastic,stoch_R0,100,0.01,200,200,6.05,0.0,1.0,0.0002598644971997656,0.11320526984018218,0.0
stochastic,stoch_R0,500,0.0,200,200,21.18,21.18,0.0,0.0,0.08100536021868558,0.08100536021868558
stochastic,stoch_R0,500,0.0001,200,200,21.18,12.01,0.46739400115112967,8.861953899509338e-05,0.08100536021868558,0.04666581451585936
stochastic,stoch_R0,500,0.001,200,200,21.18,0.495,0.9843855706389355,0.0005721512978724946,0.08100536021868558,0.001948683305936701
stochastic,stoch_R0,500,0.005,200,200,21.18,0.0,1.0,0.0006326611913263261,0.08100536021868558,0.0
stochastic,stoch_R0,500,0.01,200,200,21.18,0.0,1.0,0.0006326611913263261,0.08100536021868558,0.0
stochastic,stoch_R0,1000,0.0,200,200,34.59,34.59,0.0,0.0,0.06657167286484555,0.06657167286484555
stochastic,stoch_R0,1000,0.0001,200,200,34.59,21.65,0.4233493170218495,9.194122604031092e-05,0.06657167286484555,0.042103242274143346
stochastic,stoch_R0,1000,0.001,200,200,34.59,2.625,0.9529982911239339,0.0007011692748916124,0.06657167286484555,0.005142485961901722
stochastic,stoch_R0,1000,0.005,200,200,34.59,0.06,0.9992043952412426,0.0009122920830106738,0.06657167286484555,0.0001192646499379962
stochastic,stoch_R0,1000,0.01,200,200,34.59,0.0,1.0,0.0009232222009151852,0.06657167286484555,0.0
stochastic,stoch_R1,100,0.0,200,199,5.205,5.205,0.0,0.0,0.09788290156775979,0.09788290156775979
stochastic,stoch_R1,100,0.0001,200,199,5.205,1.755,0.7393882778304889,6.73692635209452e-05,0.09788290156775979,0.0338008779612209
stochastic,stoch_R1,100,0.001,200,199,5.205,0.0,1.0,0.00019073100150211161,0.09788290156775979,0.0
stochastic,stoch_R1,100,0.005,200,199,5.205,0.0,1.0,0.00019073100150211161,0.09788290156775979,0.0
stochastic,stoch_R1,100,0.01,200,199,5.205,0.0,1.0,0.00019073100150211161,0.09788290156775979,0.0
stochastic,stoch_R1,500,0.0,200,200,17.825,17.825,0.0,0.0,0.06843244688956741,0.06843244688956741
stochastic,stoch_R1,500,0.0001,200,200,17.825,8.975,0.5648583004508407,8.701807168651103e-05,0.06843244688956741,0.03491232951164971
stochastic,stoch_R1,500,0.001,200,200,17.825,0.54,0.9850153419002778,0.0004240738004265887,0.06843244688956741,0.0021188041804593547
stochastic,stoch_R1,500,0.005,200,200,17.825,0.0,1.0,0.0004767699116631496,0.06843244688956741,0.0
stochastic,stoch_R1,500,0.01,200,200,17.825,0.0,1.0,0.0004767699116631496,0.06843244688956741,0.0
stochastic,stoch_R1,1000,0.0,200,200,29.04,29.04,0.0,0.0,0.0560804290503659,0.0560804290503659
stochastic,stoch_R1,1000,0.0001,200,200,29.04,16.505,0.5151174764987592,9.099392386124512e-05,0.0560804290503659,0.032139856269894844
stochastic,stoch_R1,1000,0.001,200,200,29.04,2.26,0.9610238467940988,0.0005251465715562299,0.0560804290503659,0.004420475065877688
stochastic,stoch_R1,1000,0.005,200,200,29.04,0.0,1.0,0.0007069533527743133,0.0560804290503659,0.0
stochastic,stoch_R1,1000,0.01,200,200,29.04,0.0,1.0,0.0007069533527743133,0.0560804290503659,0.0
