k,eta,n_queries,n_queries_with_turnover,mean_delta_unconstrained,mean_j_eta,mean_atf,mean_utility_regret,mean_ridi_unconstrained,mean_ridi_controlled,mean_ndcg_r1,mean_ndcg_controlled,mean_recall_r1,mean_recall_controlled,atf_ci95_low,atf_ci95_median,atf_ci95_high
10,0.0,200,200,6.255,6.255,0.0,0.0,0.7548339886807379,0.7548339886807379,0.3598704990448363,0.3598704990448363,0.013367946846913463,0.013367946846913463,0.0,0.0,0.0
10,0.0001,200,200,6.255,5.695,0.09950992063492063,2.6729402342605956e-05,0.7548339886807379,0.7076847855446925,0.3598704990448363,0.36114019699268063,0.013367946846913463,0.013469206137535175,0.08305262896825398,0.0993501984126984,0.11771646825396825
10,0.001,200,200,6.255,3.735,0.43709920634920635,0.0005854439883872793,0.7548339886807379,0.5155921164318997,0.3598704990448363,0.3619734636710591,0.013367946846913463,0.01352464330208765,0.40927619047619046,0.43724007936507936,0.465956498015873
10,0.005,200,200,6.255,1.715,0.7552380952380952,0.0029752728000801377,0.7548339886807379,0.2610899394722924,0.3598704990448363,0.35992236431712527,0.013367946846913463,0.013426030567932212,0.7243051587301587,0.7549960317460318,0.7851234126984127
10,0.01,200,200,6.255,1.13,0.8400496031746033,0.004981079187105861,0.7548339886807379,0.17625667633020572,0.3598704990448363,0.36396342047429037,0.013367946846913463,0.013579761234742646,0.8124957837301587,0.8401230158730159,0.8650717757936507
50,0.0,200,200,25.4,25.4,0.0,0.0,0.6662478957295934,0.6662478957295934,0.2716038096916775,0.2716038096916775,0.04809721255003513,0.04809721255003513,0.0,0.0,0.0
50,0.0001,200,200,25.4,23.11,0.09600097153878667,6.631822293695747e-05,0.6662478957295934,0.6236200973865001,0.2716038096916775,0.27029726779352187,0.04809721255003513,0.047725422144922244,0.09046339536895706,0.09600957135632285,0.10173628327993937
50,0.001,200,200,25.4,17.225,0.34060931434386654,0.0008817368579756792,0.6662478957295934,0.5008571062316344,0.2716038096916775,0.2663419545619465,0.04809721255003513,0.04666048215167681,0.3265172996010129,0.340475327774664,0.3550079703366948
50,0.005,200,200,25.4,9.115,0.6710086374963745,0.004503487787717344,0.6662478957295934,0.29296498628068823,0.2716038096916775,0.2572380756891324,0.04809721255003513,0.04423154353813703,0.6489306389464254,0.6709359427059312,0.6926536754000788
50,0.01,200,200,25.4,5.28,0.818280290540184,0.008640466378530496,0.6662478957295934,0.17789382348686256,0.2716038096916775,0.25189388009038916,0.04809721255003513,0.04309341003004254,0.7980024061156379,0.8183245908173793,0.8383480990782405
100,0.0,200,200,45.78,45.78,0.0,0.0,0.6220352710093486,0.6220352710093486,0.22933768787060863,0.22933768787060863,0.07977708431441145,0.07977708431441145,0.0,0.0,0.0
100,0.0001,200,200,45.78,42.165,0.08307550640059944,7.667441155672135e-05,0.6220352710093486,0.5865445389368734,0.22933768787060863,0.22865783060066783,0.07977708431441145,0.07940975418692915,0.07928748876505042,0.08307150684269475,0.0868720877136175
100,0.001,200,200,45.78,33.28,0.2867430584523463,0.0009188099808061228,0.6220352710093486,0.4911259698348093,0.22933768787060863,0.22566653878305495,0.07977708431441145,0.07790981394451323,0.27647635436401,0.28673839409631063,0.29741408907622946
100,0.005,200,200,45.78,19.725,0.5942532409236385,0.004774765127790687,0.6220352710093486,0.3188804805845788,0.22933768787060863,0.21805011033620772,0.07977708431441145,0.07406842374814847,0.5762419952837892,0.5941904915102194,0.6127362341769303
100,0.01,200,200,45.78,12.2,0.7597213120974223,0.00949064551974948,0.6220352710093486,0.20712471910254596,0.22933768787060863,0.21197149158378434,0.07977708431441145,0.07118855149360442,0.7408042460224811,0.7598350811825645,0.7783698277605261
