seed,n_train,n_test,n_test_seen_endpoints,seen_test_fraction,n_degree_matched,matched_fraction,auc_random,auc_degree_matched,inflation_auc,collapse_fraction
0,14952,3738,3134,0.8384162653825575,712,0.22718570516911296,0.9839760023359909,0.5148655472793839,0.469110455056607,0.9692845364075224
1,14952,3738,3120,0.8346709470304976,667,0.21378205128205127,0.9864304939184747,0.509620377217688,0.47681011670078666,0.9802225038562232
2,14952,3738,3146,0.8416265382557517,699,0.2221869040050858,0.98407436925324,0.5094432880816863,0.4746310811715537,0.9804920717115141
3,14952,3738,3137,0.839218833600856,714,0.22760599298693018,0.9839113183126237,0.5073039019529381,0.4766074163596856,0.9849065279596964
4,14952,3738,3144,0.841091492776886,754,0.23982188295165394,0.9809055598449974,0.505332303752225,0.47557325609277235,0.9889119523718052
5,14952,3738,3150,0.8426966292134831,721,0.2288888888888889,0.9826506424792139,0.5083054241585407,0.4743452183206731,0.9827920582144497
6,14952,3738,3119,0.8344034242910647,699,0.22411029176017955,0.9833303026132072,0.5069637597958252,0.476366542817382,0.9855921307681839
7,14952,3738,3158,0.8448368111289459,732,0.2317922735908803,0.9808374421084844,0.5075565857445729,0.4732808563639116,0.984284531355468
8,14952,3738,3163,0.8461744248261103,719,0.22731583939298133,0.9825179375543315,0.5130967326355373,0.46942120491879413,0.9728575217287904
9,14952,3738,3109,0.8317281968967363,725,0.23319395303956256,0.9844437356512045,0.5120142687277051,0.4724294669234994,0.9751998677172384
10,14952,3738,3128,0.8368111289459604,734,0.23465473145780052,0.9804394430962644,0.5081066382555368,0.4723328048407276,0.9831266179910367
11,14952,3738,3127,0.8365436062065276,698,0.22321714102974097,0.9830250756560892,0.5108742949565275,0.47215078069956173,0.9774871005573427
12,14952,3738,3093,0.8274478330658106,681,0.22017458777885549,0.9843818352695912,0.512806165244598,0.47157567002499323,0.9735618383842357
13,14952,3738,3158,0.8448368111289459,719,0.22767574414186192,0.9826351523980233,0.5122185232541719,0.4704166291438514,0.974683727048345
14,14952,3738,3137,0.839218833600856,699,0.2228243544788014,0.9841827909993619,0.5095660876666237,0.4746167033327382,0.9802428177034563
15,14952,3738,3121,0.8349384697699305,708,0.2268503684716437,0.9825317450874126,0.5109962016023493,0.4715355434850633,0.9772114441913925
16,14952,3738,3105,0.8306581059390048,693,0.22318840579710145,0.9836700454567849,0.5094659228858363,0.4742041225709487,0.9804289660384147
17,14952,3738,3099,0.8290529695024077,710,0.22910616327847694,0.9833533097989015,0.5110503868280103,0.47230292297089116,0.977138075598142
18,14952,3738,3121,0.8349384697699305,708,0.2268503684716437,0.9840928333155898,0.5075578936448658,0.476534939670724,0.9843875118061526
19,14952,3738,3131,0.8376136971642589,705,0.2251676780581284,0.9851660092086624,0.5093617021276595,0.47580430708100285,0.9807041261135976
